,Artist ID,Name,Nationality,Gender,Birth Year,Death Year,age
12822,40732,Henri Gerbault,French,Male,1863.0,1930.0,67.0
12823,40733,Henri-Patrice Dillon,French,Male,1851.0,1909.0,58.0
12824,40734,Louis Abel-Truchet,French,Male,1857.0,1918.0,61.0
12825,40735,Tancrède Synave,French,Male,1860.0,1936.0,76.0
12826,40736,Ernest La Jeunesse,French,Male,1874.0,1917.0,43.0
12827,40737,Maxime Dethomas,French,Male,1867.0,1929.0,62.0
12828,40740,Joseph Sattler,German,Male,1867.0,1931.0,64.0
12829,40742,Gustave Le Rouge,French,Male,1867.0,1938.0,71.0
12832,40746,Henri Lebasque,French,Male,1865.0,1947.0,82.0
12846,40859,Annemarie Heinrich,German,Female,1912.0,2005.0,93.0
12849,40870,Anatole Saderman,Argentine,Male,1904.0,1993.0,89.0
12850,40871,Jan Slothouber,Dutch,Male,1918.0,2007.0,89.0
12853,40874,Willy Ørskov,Danish,Male,1920.0,1990.0,70.0
12854,40875,Aldo van den Nieuwelaar,Dutch,Male,1944.0,2010.0,66.0
12857,40880,Emmy van Leersum,Dutch,Female,1930.0,1984.0,54.0
12875,40994,Beauford Delaney,American,Male,1901.0,1979.0,78.0
12877,40999,María Teresa Hincapié,Colombian,Female,1956.0,2008.0,52.0
12878,41022,Waclaw Szpakowski,Polish,Male,1883.0,1973.0,90.0
12886,41140,Corita Kent (Sister Mary Corita),American,Female,1918.0,1986.0,68.0
12888,41145,Bernard Heidsieck,French,Male,1928.0,2014.0,86.0
12889,41148,Ricardo Porro,Cuban,Male,1925.0,2014.0,89.0
12890,41149,Marcel Slodki,Polish,Male,1892.0,1943.0,51.0
12891,41150,František Bílek,Czech,Male,1872.0,1941.0,69.0
12895,41155,Marie Rosalie (Mitzi) Friedmann-Otten,Austrian,Female,1884.0,1955.0,71.0
12896,41156,Augusta von Zitzewitz,German,Female,1880.0,1960.0,80.0
12897,41157,Katharina Heise (Karl Luis Heinrich-Salze),German,Female,1891.0,1964.0,73.0
12899,41159,Richard Bampi,German,Male,1896.0,1964.0,68.0
12900,41160,Eberhard Viegener,German,Male,1890.0,1967.0,77.0
12901,41161,Bruno Beye,German,Male,1895.0,1976.0,81.0
12902,41162,Jerzy von Hulewicz,Polish,Male,1886.0,1940.0,54.0
12903,41163,Jan Wroniecki,German,Male,1890.0,1948.0,58.0
12906,41166,Ines Wetzel,German,Female,1878.0,1940.0,62.0
12907,41167,Rüdiger Berlit,German,Male,1883.0,1939.0,56.0
12913,41199,Maria Kipp,American,Female,1900.0,1988.0,88.0
12918,41210,Mahonri M. Young,American,Male,1877.0,1957.0,80.0
